properties.ObjectId,properties.StopID,properties.PID,properties.resultOfStop,properties.resultOfStopcode,properties.resultOfStopcodeText
21689,23497,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
21690,23497,1,In-field cite and release,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
21691,23498,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
21692,23499,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21693,23500,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21694,23501,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
21695,23502,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
21696,23502,2,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
21697,23503,1,Citation for infraction,54398,21950(A) VC - FAIL YIELD TO PED:XWALKS (I) 54398
21698,23504,1,Citation for infraction,54186,22102 VC - ILEGAL UTURN:BUS DIST/ETC (I) 54186
21699,23505,1,Citation for infraction,54115,22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115
21700,23506,1,Citation for infraction,54398,21950(A) VC - FAIL YIELD TO PED:XWALKS (I) 54398
21701,23507,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
21702,23508,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
21703,23509,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
21704,23510,1,Citation for infraction,54115,22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115
21705,23511,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
21706,23512,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
21707,23513,1,Noncriminal transport or caretaking transport,NULL,NULL
21708,23513,1,Custodial Arrest without warrant,54056,20002 VC - HIT AND RUN (M) 54056
21709,23513,1,Custodial Arrest without warrant,42104,23152(A) VC - DUI ALCOHOL (M) 42104
21710,23514,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
21711,23514,1,Custodial Arrest without warrant,32100,602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100
21712,23514,1,Custodial Arrest without warrant,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423
21713,23515,1,Citation for infraction,54378,22526 VC - INTERSECT/ETC:NO CLEARNCE (I) 54378
21714,23516,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
21715,23517,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
21716,23518,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21717,23519,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21718,23520,1,Field interview card completed,NULL,NULL
21719,23402,2,In-field cite and release,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
21720,23685,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21721,23443,1,No Action,NULL,NULL
21722,23402,2,In-field cite and release,54061,23109 VC - SPEED CONTEST/EXH/BLCK RD (M) 54061
21723,23686,1,Warning (verbal or written),54115,22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115
21724,23403,1,Psychiatric hold,NULL,NULL
21725,23445,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21726,23687,1,Citation for infraction,54145,21955 VC - JAYWALKING (I) 54145
21727,23404,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21728,23445,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21729,23688,1,No Action,NULL,NULL
21730,23405,1,No Action,NULL,NULL
21731,23446,1,No Action,NULL,NULL
21732,23689,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
21733,23405,2,No Action,NULL,NULL
21734,23447,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
21735,23690,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
21736,23406,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
21737,23448,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
21738,23691,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21739,23407,1,No Action,NULL,NULL
21740,23449,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
21741,23692,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
21742,23408,1,Custodial Arrest without warrant,52444,25850(C)(6) PC - CRRY LOAD H/GUN:NOT OWNER (F) 52444
21743,23450,1,No Action,NULL,NULL
21744,23692,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21745,23408,1,Custodial Arrest without warrant,52504,30305(A)(1) PC - PROHIB OWN/ETC AMMO/ETC (F) 52504
21746,23451,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21747,23693,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21748,23408,1,Custodial Arrest without warrant,52422,29800(A)(1) PC - FELON/ETC POSS/ETC F/ARM (F) 52422
21749,23452,1,No Action,NULL,NULL
21750,23694,1,Custodial Arrest without warrant,38080,273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080
21751,23409,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21752,23453,1,Field interview card completed,NULL,NULL
21753,23695,1,No Action,NULL,NULL
21754,23410,1,Warning (verbal or written),54014,24400 VC - HEADLAMP:OPR/AMT/SIZE:VIO (I) 54014
21755,23454,1,No Action,NULL,NULL
21756,23696,1,Custodial Arrest without warrant,34054,597(A) PC - CRUELTY TO ANIMALS (F) 34054
21757,23411,1,Warning (verbal or written),54115,22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115
21758,23454,2,No Action,NULL,NULL
21759,23697,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21760,23412,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21761,23454,3,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
21762,23698,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
21763,23413,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21764,23454,3,Custodial Arrest without warrant,48077,148.9(A) PC - FALSE ID TO SPECIFIC PO'S (M) 48077
21765,23699,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
21766,23414,1,Citation for infraction,54122,21457(A) VC - FAIL STOP:FLASH RED LIGHT (I) 54122
21767,23454,3,Field interview card completed,NULL,NULL
21768,23700,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
21769,23701,1,Citation for infraction,54181,21755 VC - USE SHOLDER/ETC:PAS RIGHT (I) 54181
21770,23702,1,No Action,NULL,NULL
21771,23703,1,Field interview card completed,NULL,NULL
21772,23704,1,No Action,NULL,NULL
21773,23705,1,Field interview card completed,NULL,NULL
21774,23705,1,In-field cite and release,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
21775,23706,1,Warning (verbal or written),54014,24400 VC - HEADLAMP:OPR/AMT/SIZE:VIO (I) 54014
21776,23707,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21777,23708,1,Citation for infraction,54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
21778,23708,1,In-field cite and release,54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
21779,23709,1,No Action,NULL,NULL
21780,23710,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
21781,23711,1,No Action,NULL,NULL
21782,23712,1,No Action,NULL,NULL
21783,23713,1,No Action,NULL,NULL
21784,23714,1,Custodial Arrest without warrant,42104,23152(A) VC - DUI ALCOHOL (M) 42104
21785,23715,1,Warning (verbal or written),54014,24400 VC - HEADLAMP:OPR/AMT/SIZE:VIO (I) 54014
21786,23716,1,Custodial Arrest without warrant,42088,23152(B) VC - DUI ALCOHOL/0.08 PERCENT (M) 42088
21787,23717,1,No Action,NULL,NULL
21788,23718,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
21789,23719,1,No Action,NULL,NULL
21790,23719,2,No Action,NULL,NULL
21791,23720,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21792,23721,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21793,23721,1,Warning (verbal or written),54018,16020(A) VC - NO PROOF:FINANCE RESP:VEH (I) 54018
21794,23721,1,Warning (verbal or written),54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
21795,23721,1,Warning (verbal or written),54163,23112 VC - TOSS/ETC MATTER:HWY/ETC (I) 54163
21796,23455,1,No Action,NULL,NULL
21797,23414,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21798,23456,1,No Action,NULL,NULL
21799,23415,1,Citation for infraction,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
21800,23457,1,Field interview card completed,NULL,NULL
21801,23416,1,Warning (verbal or written),22004,459 PC - BURGLARY (F) 22004
21802,23458,1,Citation for infraction,54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
21803,23417,1,Warning (verbal or written),54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
21804,23459,1,Citation for infraction,54114,21801(A) VC - FT/YIELD BE4 LEFT/U-TURN (I) 54114
21805,23418,1,No Action,NULL,NULL
21806,23460,1,Custodial Arrest without warrant,23185,487(D)(1) PC - GRAND THEFT:AUTO (F) 23185
21807,23418,2,No Action,NULL,NULL
21808,23461,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21809,23419,1,Field interview card completed,NULL,NULL
21810,23462,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21811,23420,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21812,23463,1,Field interview card completed,NULL,NULL
21813,23421,1,Citation for infraction,32111,647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111
21814,23464,1,Warning (verbal or written),54178,21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178
21815,23422,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
21816,23465,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21817,23423,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21818,23466,1,No Action,NULL,NULL
21819,23467,1,No Action,NULL,NULL
21820,23467,2,No Action,NULL,NULL
21821,23468,1,Citation for infraction,54338,4464 VC - DISPLAY ALTERED LIC PLATE (I) 54338
21822,23469,1,Field interview card completed,NULL,NULL
21823,23469,2,Field interview card completed,NULL,NULL
21824,23470,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21825,23471,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21826,23472,1,No Action,NULL,NULL
21827,23473,1,Warning (verbal or written),54019,21202(A) VC - FAIL RIDE BIKE:RT EDGE RD (I) 54019
21828,23474,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
21829,23475,1,No Action,NULL,NULL
21830,23476,1,Psychiatric hold,NULL,NULL
21831,23477,1,No Action,NULL,NULL
21832,23478,1,Warning (verbal or written),54014,24400 VC - HEADLAMP:OPR/AMT/SIZE:VIO (I) 54014
21833,23479,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
21834,23480,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21835,23424,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21836,23425,1,Custodial Arrest without warrant,29143,594(B)(1) PC - VANDALISM $400 OR MORE (F) 29143
21837,23426,1,No Action,NULL,NULL
21838,23427,1,No Action,NULL,NULL
21839,23428,1,No Action,NULL,NULL
21840,23428,2,No Action,NULL,NULL
21841,23429,1,Field interview card completed,NULL,NULL
21842,23429,2,Field interview card completed,NULL,NULL
21843,23430,1,Citation for infraction,54376,24003 VC - VEH WITH UNLAWFUL LAMPS (I) 54376
21844,23430,1,In-field cite and release,54376,24003 VC - VEH WITH UNLAWFUL LAMPS (I) 54376
21845,23431,1,Citation for infraction,54498,23115(A) VC - FAIL COVER RUBBISH VEH LD (I) 54498
21846,23432,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
21847,23433,1,Field interview card completed,NULL,NULL
21848,23433,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
21849,23434,1,Warning (verbal or written),54145,21955 VC - JAYWALKING (I) 54145
21850,23434,1,Field interview card completed,NULL,NULL
21851,23435,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21852,23436,1,Warning (verbal or written),65002,65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002
21853,23603,1,Citation for infraction,36279,314.1 PC - INDECENT EXPOSURE (F) 36279
21854,23604,1,In-field cite and release,54198,27360(B) VC - UNRESTRAINED TOT IN VEH (I) 54198
21855,23604,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21856,23604,1,Field interview card completed,NULL,NULL
21857,23605,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
21858,23606,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21859,23607,1,Citation for infraction,54155,23224 VC - ALCOHOL IN VEHICLE:-21 (M) 54155
21860,23607,2,Citation for infraction,54487,23225(A)(1) VC - OWNER/DRIVER:OPEN ALC:VEH (I) 54487
21861,23607,3,No Action,NULL,NULL
21862,23608,1,No Action,NULL,NULL
21863,23609,1,No Action,NULL,NULL
21864,23610,1,No Action,NULL,NULL
21865,23611,1,No Action,NULL,NULL
21866,23611,2,No Action,NULL,NULL
21867,23612,1,Field interview card completed,NULL,NULL
21868,23613,1,Field interview card completed,NULL,NULL
21869,23614,1,Field interview card completed,NULL,NULL
21870,23615,1,Custodial Arrest without warrant,42104,23152(A) VC - DUI ALCOHOL (M) 42104
21871,23616,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
21872,23617,1,Field interview card completed,NULL,NULL
21873,23618,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21874,23619,1,Warning (verbal or written),54194,24603 VC - STOPLAMP VIOLATIONS (I) 54194
21875,23620,1,Custodial Arrest without warrant,24054,10851(A) VC - VEHICLE THEFT (F) 24054
21876,23621,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21877,23622,1,No Action,NULL,NULL
21878,23623,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
21879,23623,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21880,23624,1,Custodial Arrest without warrant,38025,273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025
21881,23625,1,No Action,NULL,NULL
21882,23626,1,Warning (verbal or written),54014,24400 VC - HEADLAMP:OPR/AMT/SIZE:VIO (I) 54014
21883,23627,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21884,23628,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21885,23629,1,Citation for infraction,41036,25632 BP - PERMIT ALC CONSUMP AFT HR (M) 41036
21886,23630,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
21887,23630,2,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
21888,23630,3,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
21889,23632,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
21890,23632,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21891,23632,2,No Action,NULL,NULL
21892,23632,3,No Action,NULL,NULL
21893,23632,4,No Action,NULL,NULL
21894,23632,5,No Action,NULL,NULL
21895,23633,1,Citation for infraction,54182,21806(A) VC - FAIL YIELD/ETC:EMERG VEH (I) 54182
21896,23634,1,No Action,NULL,NULL
21897,23635,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21898,23636,1,No Action,NULL,NULL
21899,23637,1,No Action,NULL,NULL
21900,23638,1,Custodial Arrest without warrant,42104,23152(A) VC - DUI ALCOHOL (M) 42104
21901,23640,1,No Action,NULL,NULL
21902,23522,1,No Action,NULL,NULL
21903,23523,1,Warning (verbal or written),54122,21457(A) VC - FAIL STOP:FLASH RED LIGHT (I) 54122
21904,23524,1,Field interview card completed,NULL,NULL
21905,23524,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
21906,23525,1,Field interview card completed,NULL,NULL
21907,23525,1,Warning (verbal or written),41069,25612.5(C)(1) BP - FAIL TO POST:NO LOITERING (M) 41069
21908,23525,2,Warning (verbal or written),41069,25612.5(C)(1) BP - FAIL TO POST:NO LOITERING (M) 41069
21909,23526,1,Warning (verbal or written),32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
21910,23527,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
21911,23528,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21912,23529,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21913,23530,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
21914,23531,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
21915,23531,1,Citation for infraction,54405,21800(A) VC - FAIL YIELD INTERSECT:HWY (I) 54405
21916,23532,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21917,23533,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21918,23534,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
21919,23535,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
21920,23536,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
21921,23537,1,No Action,NULL,NULL
21922,23537,2,No Action,NULL,NULL
21923,23538,1,No Action,NULL,NULL
21924,23539,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
21925,23540,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
21926,23541,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21927,23542,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
21928,23543,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21929,23544,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21930,23545,1,Citation for infraction,54161,21657 VC - DISOBEY TRAFFIC DIRECTION (I) 54161
21931,23545,1,In-field cite and release,54161,21657 VC - DISOBEY TRAFFIC DIRECTION (I) 54161
21932,23546,1,In-field cite and release,54330,22500 VC - PARKING/ETC VIO:SPEC CIRC (I) 54330
21933,23546,1,Citation for infraction,54330,22500 VC - PARKING/ETC VIO:SPEC CIRC (I) 54330
21934,23547,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21935,23548,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
21936,23549,1,Citation for infraction,54018,16020(A) VC - NO PROOF:FINANCE RESP:VEH (I) 54018
21937,23549,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21938,23549,1,Citation for infraction,54083,14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083
21939,23550,1,No Action,NULL,NULL
21940,23551,1,No Action,NULL,NULL
21941,23552,1,No Action,NULL,NULL
21942,23553,1,No Action,NULL,NULL
21943,23554,1,Warning (verbal or written),54193,24600 VC - TAILLAMP VIOLATIONS (I) 54193
21944,23555,1,Citation for infraction,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
21945,23556,1,Citation for infraction,35172,11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172
21946,23556,2,Custodial Arrest without warrant,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
21947,23557,1,Custodial Arrest without warrant,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
21948,23558,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
21949,23559,1,Custodial Arrest without warrant,48077,148.9(A) PC - FALSE ID TO SPECIFIC PO'S (M) 48077
21950,23559,1,Custodial Arrest without warrant,35422,11350(A) HS - POSSESS NARCOTIC CNTL SUB (M) 35422
21951,23641,1,Field interview card completed,NULL,NULL
21952,23642,1,Field interview card completed,NULL,NULL
21953,23643,1,Field interview card completed,NULL,NULL
21954,23643,2,Field interview card completed,NULL,NULL
21955,23644,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21956,23644,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21957,23644,1,Citation for infraction,54083,14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083
21958,23645,1,Custodial Arrest without warrant,24067,10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067
21959,23646,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21960,23647,1,Custodial Arrest without warrant,35422,11350(A) HS - POSSESS NARCOTIC CNTL SUB (M) 35422
21961,23647,1,Custodial Arrest without warrant,23087,484(A) PC - PETTY THEFT (M) 23087
21962,23648,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
21963,23649,1,Custodial Arrest without warrant,48077,148.9(A) PC - FALSE ID TO SPECIFIC PO'S (M) 48077
21964,23650,1,Field interview card completed,NULL,NULL
21965,23651,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21966,23652,1,In-field cite and release,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423
21967,23652,2,Warning (verbal or written),32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
21968,23653,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21969,23654,1,No Action,NULL,NULL
21970,23655,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21971,23656,1,Warning (verbal or written),32100,602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100
21972,23657,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21973,23658,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21974,23659,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21975,23660,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21976,23661,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21977,23662,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21978,23663,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21979,23664,1,Custodial Arrest without warrant,52422,29800(A)(1) PC - FELON/ETC POSS/ETC F/ARM (F) 52422
21980,23665,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
21981,23666,1,No Action,NULL,NULL
21982,23667,1,Warning (verbal or written),54184,21956 VC - PED NOT ON LEFT EDGE ROAD (I) 54184
21983,23667,2,Warning (verbal or written),54184,21956 VC - PED NOT ON LEFT EDGE ROAD (I) 54184
21984,23668,1,In-field cite and release,54518,24603(E) VC - STOPLAMPS VIOL:N/VISIBLE (I) 54518
21985,23668,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
21986,23670,1,No Action,NULL,NULL
21987,23671,1,No Action,NULL,NULL
21988,23671,2,No Action,NULL,NULL
21989,23672,1,No Action,NULL,NULL
21990,23672,2,No Action,NULL,NULL
21991,23673,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
21992,23674,1,Custodial Arrest without warrant,24054,10851(A) VC - VEHICLE THEFT (F) 24054
21993,23675,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21994,23676,1,Citation for infraction,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
21995,23676,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
21996,23676,1,Citation for infraction,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423
21997,23676,1,Citation for infraction,35172,11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172
21998,23677,1,Citation for infraction,54181,21755 VC - USE SHOLDER/ETC:PAS RIGHT (I) 54181
21999,23678,1,In-field cite and release,66203,640(B)(1) PC - EAT/DRINK PUB TRANSIT SYS (I) 66203
22000,23679,1,In-field cite and release,54357,26101 VC - EQUIP MODIFY DEVICE VIOL (I) 54357
22001,23871,1,Citation for infraction,54083,14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083
22002,23871,2,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
22003,23871,2,Custodial Arrest without warrant,48077,148.9(A) PC - FALSE ID TO SPECIFIC PO'S (M) 48077
22004,23871,2,Field interview card completed,NULL,NULL
22005,23872,1,Warning (verbal or written),54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
22006,23873,1,Citation for infraction,32022,602 PC - TRESPASSING (M) 32022
22007,23874,1,Custodial Arrest without warrant,38080,273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080
22008,23875,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
22009,23876,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
22010,23877,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
22011,23878,1,In-field cite and release,32016,555 PC - ENTER/REMAIN ON PSTD PROP (M) 32016
